Composition,Phases,Heat Treatment,Test Temperature (°C),Grain Size (μm),Dislocation Density (×10¹⁴ m⁻²),YS (MPa),UTS (MPa),Hardness (HV),Elongation (%),Strain Rate (s⁻¹),n,K (Mpa)
Co,FCC,"Annealed at 1100°C, water quenched",400.0,8.8,3.25,388.0,714.0,260.0,17.2,2400.0,0.18,742.0
Co15Ni,HCP + carbides,"Annealed at 1100°C, water quenched",400.0,7.7,3.41,479.0,686.0,235.17,23.9,7000.0,0.18,614.0
Co15Ni,FCC + HCP,"Hot rolled, aged at 800°C",500.0,5.8,3.9,479.0,738.0,235.17,15.5,2900.0,0.18,639.0
Co,HCP + carbides,"Annealed at 1100°C, water quenched",25.0,11.0,2.45,458.0,693.73,208.0,15.5,100.0,0.19,745.0
Co15Ni,FCC,"Cold worked 15%, no aging",100.0,5.6,3.49,459.0,694.0,235.17,19.2,4000.0,0.24,604.0
Co15Ni,HCP,"Annealed @950°C, slow cool",600.0,10.8,4.42,470.0,693.73,224.0,20.6,3700.0,0.16,714.0
Co15Ni,HCP,"Annealed @950°C, slow cool",25.0,8.07,3.18,467.0,693.73,236.0,22.2,9800.0,0.2,637.0
Co25Ni,HCP,"Annealed @950°C, slow cool",100.0,10.8,2.55,425.0,625.0,235.17,23.8,1100.0,0.18,672.19
Co10Ni,HCP + carbides,"Annealed @950°C, slow cool",100.0,6.8,3.18,477.0,605.0,238.0,18.2,66000.0,0.17,737.0
Co,HCP + carbides,"Aged 650°C, 2h",200.0,5.6,3.18,404.0,693.73,254.0,22.1,2000.0,0.19,670.0
Co10Ni,HCP,"Annealed @950°C, slow cool",200.0,6.7,2.02,459.0,671.0,235.17,21.1,2800.0,0.17,708.0
Co20Ni,HCP + carbides,"Annealed at 1100°C, water quenched",500.0,9.8,1.97,472.0,629.0,201.0,23.1,38000.0,0.19,651.0
Co20Ni,FCC,"Annealed at 1100°C, water quenched",400.0,8.07,3.18,455.0,635.0,241.0,16.1,6100.0,0.21,672.19
Co10Ni,HCP + carbides,"Aged 650°C, 2h",400.0,10.8,2.66,451.0,618.0,225.0,19.98,99000.0,0.17,693.0
Co,HCP,"Aged 650°C, 2h",200.0,5.6,3.99,516.0,697.0,249.0,17.1,4200.0,0.22,708.0
Co15Ni,FCC,"Aged 650°C, 2h",100.0,5.6,3.87,418.0,694.0,212.0,19.3,4700.0,0.25,622.0
Co15Ni,FCC + HCP,"Annealed @950°C, slow cool",100.0,8.3,3.39,394.0,662.0,235.17,22.0,2500.0,0.15,677.0
Co20Ni,HCP,"Annealed @950°C, slow cool",300.0,8.07,2.55,449.24,606.0,226.0,19.98,5900.0,0.2,734.0
Co15Ni,HCP,"Annealed @950°C, slow cool",200.0,8.07,3.17,499.0,755.0,258.0,19.98,8100.0,0.21,712.0
Co,HCP + carbides,"Hot rolled, aged at 800°C",25.0,7.9,3.31,456.0,769.0,235.17,22.0,8800.0,0.15,632.0
Co10Ni,HCP + carbides,"Aged 650°C, 2h",25.0,7.1,3.76,449.24,693.73,235.17,19.98,29000.0,0.23,701.0
Co20Ni,FCC,"Annealed @950°C, slow cool",200.0,11.3,3.18,474.0,771.0,230.0,16.9,6200.0,0.22,646.0
Co10Ni,FCC + HCP,"Hot rolled, aged at 800°C",400.0,4.6,4.16,469.0,643.0,245.0,24.8,7500.0,0.21,644.0
Co,FCC,"Annealed @950°C, slow cool",200.0,8.07,2.86,505.0,668.0,235.17,17.0,9900.0,0.21,672.19
Co20Ni,HCP,"Annealed at 1100°C, water quenched",500.0,4.4,2.75,433.0,608.0,250.0,20.4,4500.0,0.15,644.0
Co15Ni,FCC + HCP,"Annealed @950°C, slow cool",500.0,10.2,1.86,428.0,740.0,228.0,23.3,42000.0,0.17,727.0
Co,HCP,"Annealed @950°C, slow cool",500.0,9.7,4.37,459.0,729.0,246.0,22.6,13555.36,0.16,674.0
Co,FCC + HCP,"Cold worked 15%, no aging",200.0,11.8,4.4,511.0,742.0,207.0,19.98,2900.0,0.21,613.0
Co20Ni,FCC + HCP,"Cold worked 15%, no aging",25.0,7.4,3.59,474.0,673.0,233.0,16.1,7700.0,0.19,607.0
Co15Ni,FCC,"Annealed at 1100°C, water quenched",25.0,8.8,1.88,407.0,624.0,242.0,19.98,47000.0,0.22,604.0
Co,FCC,"Cold worked 15%, no aging",200.0,6.5,3.18,452.0,708.0,233.0,19.98,89000.0,0.17,697.0
Co25Ni,FCC,"Aged 650°C, 2h",200.0,8.07,1.56,449.24,663.0,239.0,19.0,9000.0,0.18,735.0
Co25Ni,HCP,"Annealed @950°C, slow cool",600.0,12.0,3.18,421.0,766.0,235.17,16.1,13555.36,0.16,607.0
Co25Ni,FCC,"Aged 650°C, 2h",200.0,10.4,4.21,445.0,721.0,219.0,18.6,5100.0,0.19,727.0
Co15Ni,FCC + HCP,"Annealed @950°C, slow cool",25.0,5.2,3.18,489.0,616.0,235.17,19.98,12000.0,0.19,699.0
Co,HCP,"Annealed at 1100°C, water quenched",600.0,8.5,2.77,433.0,630.0,235.0,18.6,3300.0,0.16,672.19
Co15Ni,FCC,"Annealed @950°C, slow cool",200.0,11.4,3.61,458.0,771.0,248.0,20.2,4700.0,0.16,716.0
Co25Ni,FCC,"Annealed at 1100°C, water quenched",25.0,9.9,3.54,436.0,737.0,243.0,19.98,13555.36,0.19,743.0
Co10Ni,FCC,"Annealed @950°C, slow cool",400.0,7.2,2.55,476.0,608.0,235.17,20.8,8100.0,0.22,653.0
Co,FCC,"Annealed at 1100°C, water quenched",500.0,3.7,3.97,495.0,635.0,228.0,22.1,1300.0,0.19,632.0
Co15Ni,FCC,"Hot rolled, aged at 800°C",600.0,5.2,3.38,447.0,682.0,235.17,15.8,9400.0,0.19,611.0
Co20Ni,HCP,"Hot rolled, aged at 800°C",200.0,10.2,2.23,401.0,764.0,235.17,24.2,84000.0,0.18,681.0
Co,HCP,"Hot rolled, aged at 800°C",500.0,10.0,3.18,424.0,753.0,227.0,24.9,1200.0,0.15,642.0
Co20Ni,FCC,"Cold worked 15%, no aging",500.0,8.6,2.06,417.0,722.0,206.0,19.98,4100.0,0.24,688.0
Co25Ni,FCC + HCP,"Annealed at 1100°C, water quenched",200.0,10.5,1.79,449.24,766.0,257.0,19.98,8100.0,0.19,649.0
Co25Ni,HCP + carbides,"Cold worked 15%, no aging",300.0,7.6,3.18,449.24,695.0,217.0,19.98,13555.36,0.2,651.0
Co,HCP + carbides,"Cold worked 15%, no aging",300.0,10.6,2.88,433.0,690.0,246.0,19.98,9300.0,0.18,658.0
