Composition,Phases,Heat Treatment,Test Temperature (°C),Grain Size (μm),Dislocation Density (×10¹⁴ m⁻²),YS (MPa),UTS (MPa),Hardness (HV),Elongation (%),Strain Rate (s⁻¹),n,K (Mpa)
Co20Ni15Cr10Mo3Fe,γ (FCC) + ε (HCP),Solution treated 1150°C/4h + aged 780°C/8h,25,45.0,2.1,758.0,986.0,302.0,12.5,1000.0,0.21,1450.0
Co18Ni15Cr10Mo2Fe1W,γ (FCC),Cold rolled 65% + annealed 950°C/2h,25,32.0,18.0,820.0,1050.0,325.0,10.2,1000.0,0.18,1520.0
Co25Ni20Cr10Mo,γ (FCC),Hot rolled + solution treated 1200°C/2h,25,55.0,5.4,710.0,905.0,285.0,15.8,1000.0,0.23,1380.0
Co30Ni10Cr5Mo,γ (FCC),Solution treated 1180°C/4h,25,53.53,0.48,680.0,870.0,270.0,17.2,1000.0,0.25,1342.21
Co15Ni20Cr15Mo2Fe,γ (FCC) + σ,Solution treated 1200°C/2h + aged 750°C/16h,25,38.0,9.6,843.0,1075.0,335.0,8.5,1000.0,0.16,1580.0
Co22Ni18Cr12Mo,γ (FCC),Cold worked 40% + annealed 900°C/1h,25,25.0,12.0,795.0,1020.0,271.24,11.6,1000.0,0.19,1500.0
Co28Ni15Cr8Mo2Fe,γ (FCC),Hot forged + solution treated 1150°C/2h,25,48.0,0.61,723.0,865.93,290.0,14.5,1000.0,0.22,1405.0
Co35Ni10Cr5Mo1W,γ (FCC),Solution treated 1180°C/2h,25,72.0,0.39,645.0,835.0,255.0,18.7,1000.0,0.27,1280.0
Co12Ni22Cr15Mo3Fe,γ (FCC) + σ + M23C6,Solution treated 1150°C/4h + aged 800°C/10h,25,53.53,5.4,676.62,1120.0,350.0,13.41,1000.0,0.14,1342.21
Co5Ni30Cr5Mo,γ (FCC) + ε (HCP),Cold worked 70% + stress relieved 700°C/1h,25,15.0,25.0,920.0,1180.0,370.0,5.9,1000.0,0.12,1720.0
Co25Ni20Cr10Mo,γ (FCC),Solution treated 1150°C/4h,200,60.0,0.49,685.0,865.0,270.0,16.3,1000.0,0.24,1330.0
Co20Ni15Cr10Mo3Fe,γ (FCC) + ε (HCP),Solution treated 1150°C/4h + aged 780°C/8h,200,45.0,2.0,720.0,940.0,290.0,11.8,1000.0,0.23,1410.0
Co18Ni15Cr10Mo2Fe1W,γ (FCC),Cold rolled 65% + annealed 950°C/2h,200,32.0,17.0,785.0,1010.0,310.0,9.6,1000.0,0.19,1490.0
Co30Ni10Cr5Mo,γ (FCC),Solution treated 1180°C/4h,200,68.0,0.45,650.0,830.0,271.24,16.5,1000.0,0.26,1290.0
Co15Ni20Cr15Mo2Fe,γ (FCC) + σ,Solution treated 1200°C/2h + aged 750°C/16h,200,38.0,9.2,805.0,1030.0,320.0,7.9,1000.0,0.17,1540.0
Co40Ni15Cr5Mo,γ (FCC),Solution treated 1200°C/1h,25,53.53,5.4,615.0,790.0,240.0,13.41,1000.0,0.29,1220.0
Co8Ni25Cr12Mo5Fe,γ (FCC) + σ + M23C6,Hot forged + aged 850°C/4h,25,42.0,19.0,860.0,865.93,345.0,6.8,1000.0,0.23,1630.0
Co10Ni28Cr5Mo2W,γ (FCC) + M23C6,Solution treated 1170°C/2h + aged 780°C/24h,25,40.0,11.0,830.0,1065.0,330.0,9.1,1000.0,0.17,1560.0
Co23Ni17Cr12Mo1Nb,γ (FCC) + γ',Solution treated 1180°C/4h + aged 720°C/16h,25,43.0,1.3,815.0,1040.0,325.0,10.5,1000.0,0.18,1530.0
Co33Ni10Cr8Mo,γ (FCC),Hot rolled + annealed 1050°C/1h,25,62.0,0.57,676.62,850.0,265.0,16.8,1000.0,0.25,1305.0
Co20Ni15Cr10Mo3Fe,γ (FCC) + ε (HCP),Solution treated 1150°C/4h + aged 780°C/8h,400,45.0,1.9,680.0,885.0,275.0,11.0,1000.0,0.23,1370.0
Co18Ni15Cr10Mo2Fe1W,γ (FCC),Cold rolled 65% + annealed 950°C/2h,400,32.0,16.0,745.0,955.0,295.0,8.7,1000.0,0.2,1445.0
Co25Ni20Cr10Mo,γ (FCC),Hot rolled + solution treated 1200°C/2h,400,55.0,0.47,640.0,825.0,255.0,14.6,1000.0,0.25,1265.0
Co30Ni10Cr5Mo,γ (FCC),Solution treated 1180°C/4h,400,68.0,0.42,610.0,785.0,240.0,15.9,1000.0,0.27,1342.21
Co15Ni20Cr15Mo2Fe,γ (FCC) + σ,Solution treated 1200°C/2h + aged 750°C/16h,400,38.0,5.4,765.0,975.0,271.24,7.1,1000.0,0.18,1485.0
Co20Ni15Cr10Mo3Fe,γ (FCC) + ε (HCP),Solution treated 1150°C/4h + aged 780°C/8h,600,45.0,1.7,635.0,815.0,255.0,10.2,1000.0,0.24,1310.0
Co18Ni15Cr10Mo2Fe1W,γ (FCC),Cold rolled 65% + annealed 950°C/2h,600,32.0,14.0,695.0,865.93,275.0,8.0,1000.0,0.21,1390.0
Co25Ni20Cr10Mo,γ (FCC),Hot rolled + solution treated 1200°C/2h,600,55.0,0.42,676.62,770.0,235.0,13.8,1000.0,0.26,1220.0
Co30Ni10Cr5Mo,γ (FCC),Solution treated 1180°C/4h,600,68.0,0.38,570.0,735.0,225.0,15.1,1000.0,0.28,1180.0
Co15Ni20Cr15Mo2Fe,γ (FCC) + σ,Solution treated 1200°C/2h + aged 750°C/16h,600,53.53,8.2,720.0,920.0,285.0,6.5,1000.0,0.23,1425.0
