Composition (wt%),Phases,Heat Treatment,Test Temperature (°C),Grain Size (μm),Dislocation Density (×10¹⁴ m⁻²),YS (MPa),UTS (MPa),Hardness (HV),Elongation (%),Strain Rate (s⁻¹),n,K (Mpa)
"Co: 0.60, Ni: 0.20, Al: 0.20",alpha,Annealing,25.0,64.47,1.85,284.03,661.91,105.27,29.57,0.47,0.1,252.79
"Co: 0.80, Ni: 0.10, Fe: 0.10",alpha,Annealing,300.0,29.67,9.22,282.39,432.03,479.37,5.39,0.31,0.11,296.32
"Co: 0.80, Ni: 0.10, Fe: 0.10",delta,Annealing,200.0,54.45,4.22,577.53,518.38,102.67,17.29,0.51,0.48,454.26
"Co: 0.60, Ni: 0.20, Al: 0.20",gamma,Annealing,300.0,51.43,5.11,339.83,785.98,376.54,15.75,0.67,0.38,112.1
"Co: 0.75, Ni: 0.15, B: 0.10",delta,Annealing,25.0,64.29,9.51,414.13,897.94,461.13,13.72,0.25,0.22,193.27
"Co: 0.70, Ni: 0.20, Si: 0.10",alpha,Tempering,25.0,66.49,3.27,502.13,992.8,464.92,16.42,0.36,0.44,228.46
"Co: 0.50, Ni: 0.30, W: 0.20",delta,Normalizing,100.0,19.99,7.16,502.13,710.9,420.8,10.71,0.47,0.18,296.32
"Co: 0.70, Ni: 0.20, Si: 0.10",beta,Quenching,400.0,50.18,9.39,201.35,992.59,330.59,25.65,0.63,0.13,262.92
"Co: 0.70, Ni: 0.15, Ti: 0.15",delta,Quenching,300.0,37.69,3.12,502.13,785.98,374.37,13.23,0.57,0.25,296.84
"Co: 0.70, Ni: 0.15, Si: 0.15",beta,Quenching,300.0,70.29,6.99,502.13,1026.33,205.4,25.62,0.5,0.23,387.54
"Co: 0.50, Ni: 0.30, W: 0.20",alpha,Tempering,200.0,61.65,0.79,673.68,818.94,240.11,12.69,0.24,0.49,465.21
"Co: 0.60, Ni: 0.25, Mn: 0.15",beta,Normalizing,200.0,81.45,0.75,699.74,836.99,125.33,16.42,0.6,0.35,206.06
"Co: 0.70, Ni: 0.20, Cr: 0.10",beta,Normalizing,400.0,84.97,9.4,362.74,1042.38,195.06,16.42,0.63,0.33,175.94
"Co: 0.60, Ni: 0.20, Ta: 0.20",beta,Quenching,100.0,12.55,9.56,589.94,416.17,427.88,21.09,0.93,0.5,434.89
"Co: 0.50, Ni: 0.30, W: 0.20",beta,Quenching,25.0,51.43,5.11,480.65,492.5,487.18,9.39,0.66,0.11,408.76
"Co: 0.60, Ni: 0.25, Nb: 0.15",beta,Quenching,25.0,75.31,0.31,549.55,548.44,244.71,7.53,0.54,0.31,362.59
"Co: 0.70, Ni: 0.15, Ti: 0.15",delta,Normalizing,100.0,63.47,5.11,744.15,771.51,334.62,28.33,0.4,0.31,296.32
"Co: 0.80, Ni: 0.10, Fe: 0.10",beta,Quenching,200.0,97.26,1.71,613.01,721.43,134.07,24.24,0.81,0.48,254.0
"Co: 0.60, Ni: 0.25, Mn: 0.15",beta,Annealing,25.0,21.71,2.32,697.78,1196.51,127.07,9.19,0.24,0.16,380.06
"Co: 0.40, Ni: 0.35, Mn: 0.25",beta,Quenching,300.0,31.59,4.62,276.37,1061.66,119.89,16.11,0.94,0.32,428.75
"Co: 0.70, Ni: 0.15, Ti: 0.15",beta,Quenching,25.0,39.87,3.75,342.95,964.77,426.84,11.65,0.71,0.46,496.56
"Co: 0.60, Ni: 0.25, Nb: 0.15",delta,Normalizing,300.0,8.39,1.61,218.62,932.88,471.58,8.21,0.33,0.33,351.84
"Co: 0.60, Ni: 0.20, Ta: 0.20",delta,Tempering,300.0,15.48,4.92,502.13,1097.89,112.01,6.63,0.01,0.48,387.78
"Co: 0.80, Ni: 0.10, Fe: 0.10",alpha,Tempering,200.0,53.72,4.56,476.95,785.98,120.04,16.42,0.83,0.33,427.39
"Co: 0.70, Ni: 0.20, Cr: 0.10",beta,Tempering,300.0,34.34,5.11,735.19,982.89,241.52,24.68,0.13,0.22,179.57
"Co: 0.70, Ni: 0.15, Ti: 0.15",delta,Tempering,200.0,48.1,0.52,600.4,506.58,314.44,16.93,0.44,0.31,108.42
"Co: 0.60, Ni: 0.20, Ta: 0.20",gamma,Normalizing,25.0,79.9,7.88,423.08,1187.37,407.43,16.42,0.24,0.33,294.46
"Co: 0.70, Ni: 0.20, C: 0.10",gamma,Quenching,25.0,90.19,7.31,793.97,853.15,306.25,16.42,0.74,0.33,296.32
"Co: 0.50, Ni: 0.30, Re: 0.20",beta,Normalizing,400.0,35.62,9.91,463.74,424.8,442.46,20.33,0.04,0.44,126.39
"Co: 0.65, Ni: 0.20, V: 0.15",alpha,Quenching,100.0,81.37,1.39,390.35,684.0,301.85,14.7,0.45,0.33,428.64
"Co: 0.70, Ni: 0.15, Ti: 0.15",alpha,Annealing,300.0,51.43,5.11,573.52,974.69,189.69,21.59,0.44,0.47,156.48
"Co: 0.65, Ni: 0.20, V: 0.15",gamma,Normalizing,200.0,3.03,9.71,373.12,808.39,306.25,14.03,0.14,0.18,155.71
"Co: 0.60, Ni: 0.30, Mo: 0.10",gamma,Quenching,100.0,55.12,3.84,781.13,1128.73,463.25,7.79,0.47,0.43,100.77
"Co: 0.60, Ni: 0.25, Nb: 0.15",alpha,Annealing,100.0,27.87,0.39,365.79,785.98,233.26,8.94,0.13,0.23,459.55
